                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4475,                 2.4669,                 1.6051,                0.78501,                0.69075,                 0.7602,                0.57826,                0.87692,                 1.2137,                 1.1955,                 0.0706,              0.0032667,              0.0032667
                      1,                 0.6439,                0.80672,                 1.0277,                0.87446,                0.83321,                0.89694,                 0.7319,                0.65097,                0.70436,                0.98682,               0.040535,              0.0065347,              0.0065347
                      2,                0.62769,                0.66553,                 1.0184,                0.86677,                 0.8031,                0.87099,                0.69575,                0.70116,                0.76255,                 1.0695,               0.010403,              0.0097367,              0.0097367
                      3,                0.65123,                0.65493,                 1.0211,                0.83985,                0.85473,                0.90144,                0.71208,                0.72174,                0.85867,                 1.0219,               0.009703,               0.009703,               0.009703
                      4,                0.67495,                0.61309,                 1.0359,                0.89972,                0.81699,                0.88972,                0.71843,                0.74293,                0.77489,                 1.0726,               0.009703,               0.009703,               0.009703
                      5,                0.67138,                0.58603,                 1.0174,                0.89488,                0.83693,                  0.904,                0.70229,                0.77351,                0.79412,                 1.0903,               0.009604,               0.009604,               0.009604
                      6,                0.65791,                0.58058,                 1.0277,                0.87437,                0.82322,                0.89156,                0.70507,                0.75557,                0.80713,                 1.0839,               0.009505,               0.009505,               0.009505
                      7,                0.65251,                0.57358,                 1.0203,                0.88659,                0.88277,                0.92022,                 0.7425,                0.66407,                0.74605,                 1.0361,               0.009406,               0.009406,               0.009406
                      8,                0.63328,                0.55061,                 1.0119,                0.87021,                0.83272,                0.91128,                0.74371,                0.70202,                0.69105,                 1.0638,               0.009307,               0.009307,               0.009307
                      9,                0.64755,                0.57298,                 1.0222,                0.90916,                0.84734,                0.90807,                0.74153,                0.68511,                0.63477,                 1.0353,               0.009208,               0.009208,               0.009208
                     10,                0.61234,                0.52798,                0.99551,                0.84235,                0.83774,                0.88618,                0.70742,                0.72487,                0.72975,                 1.0843,               0.009109,               0.009109,               0.009109
                     11,                0.61765,                0.53211,                 1.0032,                 0.9002,                0.85522,                0.90989,                  0.756,                0.63871,                0.62281,                 1.0158,                0.00901,                0.00901,                0.00901
                     12,                0.60589,                 0.5036,                0.99854,                0.92436,                0.84699,                0.91818,                 0.7694,                0.63956,                0.62244,                 1.0054,               0.008911,               0.008911,               0.008911
                     13,                 0.6045,                0.50652,                0.99516,                0.91909,                0.89347,                0.93642,                0.78463,                0.61826,                0.55042,                0.99404,               0.008812,               0.008812,               0.008812
                     14,                0.59407,                0.50344,                0.99089,                0.88899,                 0.8723,                 0.9296,                0.77666,                0.63894,                0.57476,                 1.0124,               0.008713,               0.008713,               0.008713
                     15,                0.57652,                0.47126,                0.98203,                0.89369,                0.87548,                0.92893,                0.77956,                0.62781,                0.54841,                0.99973,               0.008614,               0.008614,               0.008614
                     16,                0.57234,                 0.4726,                0.98507,                0.91922,                0.88341,                0.93872,                 0.7992,                0.58665,                0.51525,                0.98813,               0.008515,               0.008515,               0.008515
                     17,                0.55628,                0.46291,                0.98003,                0.93546,                0.87984,                0.93833,                 0.7847,                0.60823,                0.52539,                0.98983,               0.008416,               0.008416,               0.008416
                     18,                0.56463,                0.44956,                0.97495,                0.93263,                0.88413,                0.94254,                0.79453,                0.57663,                0.49726,                 0.9732,               0.008317,               0.008317,               0.008317
                     19,                0.55127,                0.45729,                0.96967,                 0.9159,                0.89184,                0.94138,                0.81211,                0.56008,                0.50949,                0.98444,               0.008218,               0.008218,               0.008218
                     20,                0.53546,                0.44791,                0.96595,                0.92539,                0.89618,                0.94787,                0.80642,                0.57796,                 0.4773,                0.97891,               0.008119,               0.008119,               0.008119
                     21,                0.53614,                0.44441,                0.96709,                0.92798,                0.88456,                 0.9394,                0.80136,                0.59938,                 0.5436,                0.98233,                0.00802,                0.00802,                0.00802
                     22,                  0.534,                0.42658,                0.96142,                0.91886,                0.86769,                0.93333,                 0.8009,                0.57195,                0.51816,                0.97068,               0.007921,               0.007921,               0.007921
                     23,                 0.5446,                0.44094,                0.96781,                 0.8928,                0.88663,                0.92747,                0.79879,                0.55875,                0.53154,                 0.9749,               0.007822,               0.007822,               0.007822
                     24,                0.52553,                 0.4228,                0.96565,                0.91576,                0.90317,                0.93908,                0.81112,                0.57271,                0.50281,                0.96894,               0.007723,               0.007723,               0.007723
                     25,                0.52543,                0.42468,                0.95729,                0.92792,                0.87212,                0.93733,                0.80892,                 0.5655,                 0.5271,                0.97511,               0.007624,               0.007624,               0.007624
                     26,                0.51738,                0.41575,                0.95136,                0.92897,                0.89071,                0.93962,                0.81048,                 0.5579,                0.47778,                 0.9613,               0.007525,               0.007525,               0.007525
                     27,                0.50571,                0.40674,                0.94765,                0.92139,                0.89325,                0.94416,                0.81666,                0.53846,                0.48415,                0.95473,               0.007426,               0.007426,               0.007426
                     28,                0.50465,                0.40552,                0.94677,                 0.9413,                0.84398,                0.93389,                0.79543,                0.58708,                0.52943,                 0.9866,               0.007327,               0.007327,               0.007327
                     29,                 0.4945,                0.39676,                0.94541,                0.93628,                 0.8919,                0.95156,                0.82632,                0.56605,                0.46419,                0.96835,               0.007228,               0.007228,               0.007228
